"","name","mean_ndci_fall","mean_ndci_spring","mean_ndci_summer","mean_ndci_winter","min_ndci_fall","min_ndci_spring","min_ndci_summer","min_ndci_winter","max_ndci_fall","max_ndci_spring","max_ndci_summer","max_ndci_winter"
"1","Aberdeen Lake",0.0734367025676171,0.032010009246905,0.0781619946307003,0.0764389859693375,0.00154352309624204,-0.0154316839462328,0.0448145693877379,-0.0112468002125234,0.316138761240737,0.0733381936469197,0.135001723919731,0.6675
"2","Abiquiu Reservoir",-0.0648927408513112,-0.0418481290882628,-0.0363805902176257,-0.0608353606156325,-0.139948529853545,-0.127415720296798,-0.137777649040192,-0.143023564257604,0.0074599584398525,0.0137640264285216,0.0236650974925256,0.0141879477328721
"3","Alamo Lake",-0.0780982740247294,-0.0347683966261253,-0.0491402581703452,-0.0899370574191507,-0.111352834537239,-0.133968794439001,-0.102583403134997,-0.154945531928698,-0.0301576552947565,0.147360796759662,0.00318078423541976,-0.0238170298482262
"4","Aliceville Lake",0.0945181835439298,0.0353726328685326,0.0775135349608768,0.0320184597639393,0.0232037092689071,-0.0197831052378122,0.0211438436999146,-0.0127339648116648,0.497923583727306,0.0993244607630655,0.121261771586701,0.110619613438581
"5","Allegheny Reservoir",0.0273969341786673,-0.0117700749520553,0.0112943428590156,-0.00482637669399561,-0.0483926222406407,-0.129632443620804,-0.0667914501653516,-0.123318443540198,0.133150565161075,0.121789202107536,0.0793114103993371,0.0545766611280515
"6","Almond Lake",0.0809390115816324,-0.0104461786003589,0.08717820885086,-0.0217162927693792,0.0128489110777062,-0.0767723787470657,0.00658836929851261,-0.03897568887485,0.124590090281378,0.0620681411663482,0.198825774791969,-0.0014366060900848
"7","Alum Creek Lake",-0.0045509638627406,-0.0225341317016168,0.0319253031933148,-0.0470871340176799,-0.086546777194954,-0.0749532349948684,0.00384024439285686,-0.10736940108291,0.10922793425223,0.0680684330440462,0.0780799541342182,-0.0163683359504802
"8","Applegate Lake",0.0240227123646238,-0.061141267573785,-0.0967974183666203,0.0293558186758133,-0.0278565041611421,-0.504814510117546,-0.224092654907247,-0.0137117992829039,0.055036949081401,0.0348500778375153,-0.00365293355293379,0.0563082139067577
"9","Aquilla Lake",0.118592542899194,0.0419360761786035,0.0704135639551904,0.0301664440038812,0.00722192179720918,0.00162455490799259,0.024809754280054,-0.0600406939545416,0.169973751748816,0.0851464672265811,0.156633393315042,0.0664471484808238
"10","Arcadia Lake",0.120495276030469,0.0379280385284873,0.0870166985840595,-0.0718444476086063,0.0710786189202049,-0.0561700594688832,-0.00213063752075443,-0.110976908134187,0.186055296116164,0.118004045853001,0.144000710889932,0.00436800308440251
"11","Arkabutla Lake",0.0843554137868862,0.0330638029512129,0.129678531804106,0.0285569028028975,0.0216941299387899,-0.0785168361162523,0.0976686789856685,0.00523126123389043,0.193988826815642,0.108776569522668,0.179931127323697,0.0489583462497345
"12","Arkansas River Pool  3",0.0885528913196108,0.0180061280968775,0.0520312517839582,0.0428993667701472,0.00311275945551706,-0.0334906249505484,-0.0463178724414906,-0.0493664927819017,0.41813092831597,0.132807376376214,0.171299375265988,0.292464257904529
"13","Arkansas River Pool  4",0.0964981583397696,0.0107002032781026,0.0496951418783323,0.05865525973072,0.016559403265329,-0.05259630506033,0.0158506438246234,-0.0787849527055707,0.318701305553635,0.0813916970138716,0.100716191920344,0.341782723110639
"14","Arkansas River Pool  5",0.10212348998587,0.00575215785389903,0.0401345336634485,0.0304319093863764,0.0394867047027179,-0.0392358605806274,0.00291680564700714,-0.0434819647000641,0.255898529625013,0.0436273273000651,0.0760876664109468,0.191341680722034
"15","Arkansas River Pool  6",0.112945010110119,0.00407632146052972,0.0453916651277347,0.0217191700100958,0.0381772997869567,-0.0378932404098309,0.00448868494047138,-0.0601982893274154,0.250792292228076,0.0455565356244862,0.0778216164392444,0.227011944769356
"16","Arkansas River Pool  7",0.111698454813513,0.00275731226186552,0.0454459321172788,0.0161148125256719,0.0479024434098793,-0.0468044516532319,0.00666269679579468,-0.0642577736420514,0.262582089037198,0.041355137738731,0.0839878774681926,0.223234223740906
